batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,原聲 - Gisela Wang,"tiktokincourt, tiktok, parati, fyp, humor, giselawang, tiktokceo, singaporetiktok, singapore",giselawang0520,189200,2583,10100,1848
1,1,original sound - fr0sty_rick,"jujutsukaisen, gojousatoru, anime, otaku, kashifushi, kashi, teamkashifushi, parati, humor, comedia",kashifushi,2796,25,125,5
1,2,som original - ✦,"wandamaximoff, blackwidow, haileesteinfeld, marvel",unexpectedbucky,319200,3129,15100,4080
1,3,original sound - Katelyn Ernst,,katelynernst4,79300,254,2278,251
1,4,sonido original - CharlieTales,,charlietales,37600,93,2974,109
1,5,sonido original - Guti,"pokemon, examenpokemon, pokemongo, parati, pokemontiktok, pokemonescarlatapurpura",terremotoparatodos,6300,68,533,23
1,6,original sound - Tiltokclipz,"fyp, trending, tiktok, like, followme, gambler, funnyvideos, meme, followers, funnytiktok, dankmemes, follow, tik_tok",tikktokkclipz,251200,1006,21300,6130
1,7,original sound - fr0sty_rick,"aycm_c, trending, parati, comedia, humor, fyp, real, relatable",ycambfzxo8q,2863,9,99,116
1,8,sonido original - 🖤🥀,,fandefedekenia.ynata,118300,171,22100,2175
1,9,original sound - zachirific,,zachirific,2900000,16700,163700,108000
1,10,sonido original - Pep_uni,"pokemon, pokemonmeme, parati, fyp",pep_uni,37100,989,3064,318
1,11,R I P T I D E - ⚡️ Sped up sounds ⚡️,"bali, indonesia, jewlerymaking, fyp",alina_vanvoorst,80900,41,1721,139
2,0,sonido original - Charlyokei,,charlyokei,593900,4309,24500,7764
2,1,sonido original - Ron Roneos,,ron_roneos,915500,6692,52400,25100
2,2,sonido original - danaluciasandoval,"dios, religion, catolicos, vaticano, chequia, republica, pais, paises, curiosidades, curioso, cristianismo, israel, jerusalem, jesus, jesuslovesyou, jesuschrist",danalucia.s,44100,1960,3202,1548
2,3,Kimby - Kim Loaiza,universalmusic,.kiwinv,36700,717,806,216
2,4,sonido original - Aventuranzas,"viral, fyp, humor, comedia, parati, yerimua",jose_adriannn,268500,1854,8214,436
2,5,sonido original - Bayatd. HR,,el.miguelito09,210800,7573,7906,18000
2,6,sonido original - Leylapurple,"lacasadelosfamosos4, lacasadelosfamosos, lacasadelosfamososmx, lcdlf4, maripilyrivera, lupillorivera, ladivaza",leslieruiz_02,0,0,0,0
2,7,You know - Polyworph,"movie, movieedit, edit, fyp, howtoloseaguyin10days, titanic, thenotebook, flipped, mebeforeyou, theamazingspiderman",polyworph,2800000,10000,368300,32100
2,8,sonido original - Crímenes Imperfectos,"crimen, detective, juegosdemesa, casosmisteriosos, regalo, amigos",crimenesimperfectos_,327000,1219,69700,35400
2,9,original sound - Liz Rebecca,"fyp, tiktokespa%C3%B1ol",lizrebealarcon,1,1,0,0
2,10,sonido original - Héctor de la Garza,"lachicadeloxxo, philadelphiamx, posibilidadesinfinitas, @tiendasoxxo, @philadelphiamx",hectordelagarza_,1100000,1940,92000,5612
2,11,original sound - Altavia✨,,kewchie_mane,89900,456,2472,337
2,12,original sound - Los_chicaneros,,los_chicaneros,2400000,8927,129600,39500
2,13,Sun - Adrian Berenguer,9,crisblancofdz,123500,731,20300,11000
2,14,оригинальный звук - Danila,"yuta, yutaokkotsu, maki, makizenin, jujutsukaisen, animeedit, tokamisquad, tsukai",n4cos,1800000,12300,394100,16700
2,15,sonido original - 🫶🏻🧋 i'm Danna,"fyp%E3%82%B7%E3%82%9Aviral, ponmeenparatiiiiiiiiiiiiiiiiiiiiiiii, %F0%9F%8D%80%E2%98%98%EF%B8%8F%E2%98%98%EF%B8%8F, %F0%9F%8D%80%E2%98%98%EF%B8%8F%E2%98%98%EF%B8%8F%E2%98%98%EF%B8%8F, ponmeenparatiiiiiiiiiiiiiiiiiiiiiiii, fyp%E3%82%B7%E3%82%9Aviral, fyp%E3%82%B7%E3%82%9Aviral, ponmeenparatiiiiiiiiiiiiiiiiiiiiiiii, noflopppppppppppppppppppppppppppp, fyp%E3%82%B7%E3%82%9Aviral",.im.danna3,70600,979,14000,3049
2,16,origineel geluid - Tik Toker,"fyp, cooking, travel",dietitian.natalie,110000,193,2149,904
2,17,The Party Has Begun - Freestyle,"daughter, daughtersoftiktok, cooking, stayathomedaughter, adultdaughter, funny, fyp, motherdaughter, motherdaughterfunny, @averylbeverly",rae_bev,27400,23,175,58
2,18,original sound - bobby ☻ 🇵🇸,"@mrtysaudios, joekeery, joekeeryedit, djo, djoedit, edit, fyp, aftereffects, rachelismommytbh",rachelismommytbh,13400,107,3531,181
2,19,son original - Andrew Ola,"fyp, xyzbca, royalfamily, blackhair, meghanmarkle, royal, stitchbraids",a.ndrewola,99900,874,4279,562
2,20,EVERYTHING - 검정치마,humor,inour20ss,531000,1737,29700,10700
2,21,sonido original - Moobys.es,"franromero, franciscoromero, lasociedaddelanieve, lsdln, franromerofran, franciscoromeroedit, lasociedaddelanievenetflix, lasociedaddelanievebayona, lasociedaddelanievecast, cast, cineentiktok, tiktok, fy, fyp, viral",moobys.es,174700,257,11100,218
2,22,original sound - Caryn Terradas,"stitch, socialmediamarketing, socialmedia, socialmediamanager, moviefails",staysocialu,779800,16200,24400,5004
2,23,sonido original - tocinito ☆,chipichipichapachapadubidubidabadaba,eliss99o,172300,991,22100,9726
2,24,original sound - Yeaiknow,,notatallscrap,906700,13800,67100,112000
2,25,original sound - FVHZM,,haileyrijn,98900,109,1396,1278
2,26,original sound - Espae,,espae_,166400,6087,10400,1751
2,27,original sound - English with Frank,"englishexpressions, english, ingles, vocabulario, idiomas, languages",englishtips.frank,106100,101,25700,954
3,0,original sound - ruth,,ruthtooturnt,111700,458,2807,839
3,1,sonido original - Domino's XD,"capcut, @dominosguatemala, dominospizza",domi_micky,12300,84,2123,3674
3,2,original sound - fr0sty_rick,"cleaner, cleaners, cleaneraustralia, leoenaustralia, mividaenaustralia%F0%9F%87%A6%F0%9F%87%BA, mexicanosenaustralia",leobastoal,3083,55,173,383
3,3,sonido original - Carlos Maristan,,carlos.maristan,1100000,13100,131700,89800
3,4,sonido original - Gaby✨,"memecut, dollarcity, mujeres, funny, fyp, viral, parati, meme",babiix_x,54500,168,4108,3836
3,5,son original - ɆⱠ ₵Ɽ₳₵₭ 🥷🏾,"foryoupage, paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii",lucaasgsm_,138400,1034,6312,4973
3,6,оригинальный звук - asterz,"anime, animeedit, animetiktok, jujutsukaisen, jjk, gojo, itadori, nobara, megumi",asterz_,2000000,8841,344600,36000
3,7,Time to pretend - fucc will,"groundhogday, phil, puxsatawneyphil, summer, beach, fyp, foryou, foryoupage, vacation, summervibes",sbaedited,194900,768,7735,3555
3,8,sonido original - Bela_trendy_,"botascolombianas, botasencali",bela_trendy_,164800,1128,25000,9936
3,9,original sound - .,"fyp%E3%82%B7, coquette, parati",_1606111a,152,0,0,0
3,10,Pimpin - Megan Thee Stallion,,kewchie_mane,8965,100,713,88
3,11,original sound - Solanke,"jujutsukaisen, anime, animeedit, gojo",domsolanke,1200000,7646,100000,24100
3,12,sonido original - .yoing_,parati,.yoing_,992900,5960,71400,7965
3,13,sonido original - sara and marcos dap,"humor, fyp, parati, tiktok, viral",xzoo.o,158000,3185,9755,4713
3,14,original sound - michaelcerasjuul,,michaelcerasjuul,224300,1553,8059,819
3,15,sonido original - ❦𝓛𝓸𝓷𝓮𝓵𝔂❦,"diadesanvalentin, capcut",michaeladonaidubo,49600,859,7104,642
3,16,The Best (feat. Leela James) (Instrumental) - Illect Recordings,"alegria, diariodelasamericas, venezuela, maduro, diosdado, mariacorinamachado, @mariacorinaya_, @nicolasmadurom, @diosdadopsuv, @noticiascaracol, @diariolasamericas",unaguayaberayuncafe,13,0,0,1
3,17,sonido original - Yoly&MJ,,yorleirismartinez,139,0,5,1
3,18,Rompe La Dompe - mar🫶,,renaalbacar,159200,2064,5013,5127
3,19,original sound - Tea Baggins,,kewchie_mane,2273,17,89,22
3,20,Perfect (Exceeder) - Mason & Princess Superstar,"fyp, foryou, fyp%E3%82%B7, foryourpage, americaninitaly, 2024, italia, italy, rome, americaninrome, studyabroad, lifeinitaly, lifeinitaly%F0%9F%87%AE%F0%9F%87%B9, internationalstudent, abroadlife",aliamadrigal1,205900,482,4996,215
3,21,suono originale - jim valle,hamburguesa,black._.box_,523600,4836,25600,48000
3,22,Mi Mayor Anhelo - Banda Sinaloense MS de Sergio Lizarraga,"@mstr._uwu, fyp",m0nce0_,776800,6603,104500,102600
3,23,sonido original - Ale🔥,capcut,dias44736,9,0,0,0
3,24,sonido original - miich,"paratiiii, virall, fyp, alarma, bailando, potaxie",mi.chtw,1600000,7648,120700,76300
3,25,sonido original - Chuka Hurtado,,0193738291083792gh,390600,1605,23100,9695
3,26,Little Life - Cordelia,,r.eecie,88900,47,784,298
3,27,original sound - fr0sty_rick,"mixingchemicals, cleaningtips",msmonicafay,831,27,11,18
3,28,original sound - 💀,,.shushhhhhhhhhhh,3100000,9318,315100,56300
4,0,Little Life - Cordelia,,realbiggobruh,299600,256,7214,2128
4,1,original sound - kelsey kotzur,stitch,kelsey_kotzur,541100,7459,25200,13700
4,2,sonido original - Didi,"@i_love_c_and_m, @branashairstudio, peloenpausa, dise%C3%B1odeautor, cabellodelucero, lulu99",didiwinx,1600000,6347,109600,1706
4,3,sonido original - deivis,,davidgetial,259399,631,17800,168
4,4,sonido original - Pixsa Estif 👻,"humor, fyp, viralvideo, viral",pixsa_estif_,300500,3760,26900,9163
4,5,sonido original - sari,"superbowl2024, paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii, foryoupage, justinmiles, fypppppppppppppp, parati, xyzbca, ariela640, haganmeviral",lvsarii7,1900000,2180,104400,5533
4,6,sonido original - Miriam Estrella,"@nayi_99, princesspartymadrid, cumplea%C3%B1osprincesas, animaci%C3%B3ncumplea%C3%B1os, princesasenmadrid, fiestareal, cumplea%C3%B1osm%C3%A1gico, princesasycastillos, celebraci%C3%B3ninfantil, magiaencumplea%C3%B1os, princesasparani%C3%B1os",princessparty_madrid,148500,107,4061,22
4,7,original sound - Artist Kathy🎨,,livbedumb,499200,4664,23300,2324
4,8,Standing Next to You - Jung Kook,"@jungkook, foryou",yiego,143800,1050,6669,158
4,9,reinichori x lu - lour,"fyp, venezuela",carmenvsh,67500,922,3343,1973
4,10,original sound - Gio Parli,"pegar, taylorswift",simranvl,117800,2018,4311,920
4,11,original sound - peter nguyen,"pov, comedy, fyp",peternugget,398900,1541,35800,2837
4,12,sonido original - Marvin,"fyp, veracruz, nelsonkanzela",marvinvega,372500,1949,32400,6419
4,13,sonido original - izanami_vn,"parati, fyp, fyp%E3%82%B7%E3%82%9Aviral, parati, parati, picnic, amigos",shamilc,438200,4971,25600,33700
4,14,original sound - nore,"xyzbca, mhmatters, fyp, fyp%E3%82%B7",ch.ch.ch3rry.b0mb,326300,808,13600,348
4,15,sonido original - OMAHI,,omahi.tiktok,1800000,4337,79500,3453
4,16,original sound - Goretti Solis,,carlitosscantero,314000,1791,14400,3117
4,17,original sound - Rayne / Musa ☆,"yutaokkotsu, yutaokkotsuedit, jjkedit, jujutsukaisen, jujutsukaisenedit, jjkseason2, jjk, yuta, anime, yutaokkotsusupremacy, fyp, videostar, vsp, ranxpoe",ranxpoe,1600000,13400,392700,25800
4,18,Lo-fi hip hop - NAO-K,"@realmeespana, realme, reformando, reformas",ro_meiry,10700,98,211,12
4,19,original sound - PopUpdates,"taylorswiftsongs, thetorturedpoetsdepartment, ts11, theerastour, taylorswift, parati, tay, taylorswift, grammys2023, leak, audioleak",popupdates24,5741,184,1623,1721
4,20,sonido original - Aʙʀᴀʜᴀᴍ,"cajera, humor, animacion, memes, dibujo, parati, fyp",abrahamjrz,577300,2560,50300,16500
4,21,Ride - twenty one pilots,"fyp, twentyonepilots, cover, espa%C3%B1ol, foryou, parati, mundo_top21",mundo_top21,936700,5746,85400,4554
4,22,sonido original - PROMO 23 NEPSA💋,"parati, promo23, 5tonepsa, fyp, sindignidad, obligados",promo23__nepsa,900300,8046,61800,24100
